MunicipioNome | MunicipioCodigo | Ano | ICV
Crisólita | 3120151 | 2018 | 87.06472402597403
Crisólita | 3120151 | 2019 | 96.52350411368737
Crisólita | 3120151 | 2020 | 75.0
Cristais | 3120201 | 2015 | 100.0
Cristais | 3120201 | 2016 | 96.72168451801363
Cristais | 3120201 | 2017 | 100.0
Cristais | 3120201 | 2018 | 100.0
Cristais | 3120201 | 2019 | 75.0
Cristais | 3120201 | 2020 | 80.0779347826087
Cristina | 3120508 | 2015 | 100.0
Cristina | 3120508 | 2016 | 100.0
Cristina | 3120508 | 2017 | 100.0
Cristina | 3120508 | 2018 | 100.0
Cristina | 3120508 | 2019 | 100.0
Cristina | 3120508 | 2020 | 100.0
Crucilândia | 3120607 | 2015 | 34.26525197628459
Crucilândia | 3120607 | 2016 | 75.0
Crucilândia | 3120607 | 2017 | 93.13640086206897
Crucilândia | 3120607 | 2018 | 100.0
Crucilândia | 3120607 | 2019 | 77.37114809274496
Crucilândia | 3120607 | 2020 | 100.0
Cruzília | 3120805 | 2015 | 75.0
Cruzília | 3120805 | 2016 | 100.0
Cruzília | 3120805 | 2017 | 100.0
Cruzília | 3120805 | 2018 | 100.0
Cruzília | 3120805 | 2019 | 100.0
Cruzília | 3120805 | 2020 | 100.0
Curral de Dentro | 3120870 | 2015 | 100.0
Curral de Dentro | 3120870 | 2016 | 100.0
Curral de Dentro | 3120870 | 2017 | 100.0
Curral de Dentro | 3120870 | 2018 | 100.0
Curral de Dentro | 3120870 | 2019 | 100.0
Curral de Dentro | 3120870 | 2020 | 100.0
Datas | 3121001 | 2015 | 100.0
Datas | 3121001 | 2016 | 88.67428188899709
Datas | 3121001 | 2017 | 100.0
Datas | 3121001 | 2018 | 100.0
Datas | 3121001 | 2019 | 98.8400392670157
Datas | 3121001 | 2020 | 96.10986204013378
Delfim Moreira | 3121100 | 2015 | 100.0
Delfim Moreira | 3121100 | 2016 | 100.0
Delfim Moreira | 3121100 | 2017 | 100.0
Delfim Moreira | 3121100 | 2018 | 100.0
Delfim Moreira | 3121100 | 2019 | 100.0
Delfim Moreira | 3121100 | 2020 | 100.0
Delfinópolis | 3121209 | 2015 | 75.0
Delfinópolis | 3121209 | 2016 | 75.0
Delfinópolis | 3121209 | 2017 | 100.0
Delfinópolis | 3121209 | 2018 | 100.0
Delfinópolis | 3121209 | 2019 | 96.31046185489903
Delfinópolis | 3121209 | 2020 | 100.0
Delta | 3121258 | 2015 | 75.0
Delta | 3121258 | 2016 | 86.33351265822785
Delta | 3121258 | 2017 | 100.0
Delta | 3121258 | 2018 | 90.8860551948052
Delta | 3121258 | 2019 | 100.0
Delta | 3121258 | 2020 | 100.0
Dom Viçoso | 3122801 | 2015 | 100.0
Dom Viçoso | 3122801 | 2016 | 100.0
Dom Viçoso | 3122801 | 2017 | 100.0
Dom Viçoso | 3122801 | 2018 | 100.0
Dom Viçoso | 3122801 | 2019 | 100.0
Dom Viçoso | 3122801 | 2020 | 100.0
