MunicipioNome | MunicipioCodigo | Ano | IRH
Chiador | 3116209 | 2019 | 78.58
Chiador | 3116209 | 2020 | 78.01
Claraval | 3116407 | 2015 | 78.405
Claraval | 3116407 | 2016 | 77.795
Claraval | 3116407 | 2017 | 77.74
Claraval | 3116407 | 2018 | 77.3
Claraval | 3116407 | 2019 | 77.47
Claraval | 3116407 | 2020 | 76.555
Claro dos Poções | 3116506 | 2015 | 78.98
Claro dos Poções | 3116506 | 2016 | 78.27
Claro dos Poções | 3116506 | 2017 | 78.3
Claro dos Poções | 3116506 | 2018 | 78.77
Claro dos Poções | 3116506 | 2019 | 78.115
Claro dos Poções | 3116506 | 2020 | 78.33
Comercinho | 3117009 | 2015 | 80.285
Comercinho | 3117009 | 2016 | 78.99
Comercinho | 3117009 | 2017 | 79.135
Comercinho | 3117009 | 2018 | 78.595
Comercinho | 3117009 | 2019 | 79.235
Comercinho | 3117009 | 2020 | 77.64
Conceição das Pedras | 3117207 | 2015 | 78.405
Conceição das Pedras | 3117207 | 2016 | 28.445
Conceição das Pedras | 3117207 | 2017 | 27.995
Conceição das Pedras | 3117207 | 2018 | 27.74
Conceição das Pedras | 3117207 | 2019 | 27.585
Conceição das Pedras | 3117207 | 2020 | 74.405
Conceição do Rio Verde | 3117702 | 2015 | 78.405
Conceição do Rio Verde | 3117702 | 2016 | 79.305
Conceição do Rio Verde | 3117702 | 2017 | 78.19
Conceição do Rio Verde | 3117702 | 2018 | 78.12
Conceição do Rio Verde | 3117702 | 2019 | 78.235
Conceição do Rio Verde | 3117702 | 2020 | 77.645
Cônego Marinho | 3117836 | 2015 | 81.08500000000001
Cônego Marinho | 3117836 | 2016 | 80.45
Cônego Marinho | 3117836 | 2017 | 80.125
Cônego Marinho | 3117836 | 2018 | 79.81
Cônego Marinho | 3117836 | 2019 | 80.19
Cônego Marinho | 3117836 | 2020 | 80.15
Congonhal | 3117900 | 2015 | 78.405
Congonhal | 3117900 | 2016 | 78.445
Congonhal | 3117900 | 2017 | 77.995
Congonhal | 3117900 | 2018 | 77.74
